x,y,z,value,magnitude,label
389,287,264,103.0,20.97021697551077,liver
430,228,204,143.0,16.62077013859466,liver
298,179,247,-70.0,56.18718715152058,background
351,226,300,79.0,8.972179222463181,liver
225,267,295,99.0,9.899494936611665,liver
381,220,227,89.0,48.57725805353777,liver
364,281,261,110.0,10.547511554864494,liver
401,135,237,32.0,91.57374077758318,background
304,242,286,102.0,29.88728826775691,liver
379,199,182,-91.0,7.3484692283495345,background
366,240,265,122.0,25.583197610932064,liver
331,287,273,125.0,8.200609733428363,liver
340,196,274,77.0,16.926310879810757,liver
256,342,292,124.0,14.221462653327892,liver
324,339,304,-781.0,227.41426956108097,background
399,154,246,88.0,17.514279888136993,liver
303,338,264,104.0,20.463381929681123,liver
229,314,254,-35.0,51.884487084291386,background
390,244,193,128.0,17.342145196024624,liver
339,286,293,105.0,13.0,liver
422,308,277,123.0,9.617692030835672,liver
302,154,196,14.0,50.40337290301116,background
342,224,265,106.0,30.095680753224375,liver
197,351,291,88.0,25.787593916455254,liver
378,124,256,83.0,19.00657780874821,liver
374,286,303,89.0,51.29571132170798,liver
359,169,268,77.0,29.5296461204668,liver
362,288,275,89.0,27.363296585024255,liver
344,337,251,119.0,11.565033506220377,liver
255,261,228,64.0,33.57082066318904,background
300,236,290,90.0,20.254629100529094,liver
362,208,286,138.0,21.03568396796263,liver
408,260,198,114.0,21.083168642308014,liver
417,273,239,117.0,19.82422760159901,liver
358,138,295,-831.0,66.29102503355941,background
206,172,253,128.0,50.5791459002621,background
220,261,302,112.0,10.51189802081432,background
425,254,290,55.0,22.638462845343543,liver
351,247,276,146.0,33.64149223800871,liver
348,306,291,115.0,10.14889156509222,liver
417,233,244,106.0,23.097618924902193,liver
323,345,187,19.0,18.323482201808694,background
319,302,257,120.0,12.093386622447824,liver
377,236,240,105.0,14.317821063276353,liver
428,286,207,119.0,15.14100392972672,liver
300,194,278,-21.0,45.31831859193366,background
308,299,295,97.0,12.31868499475492,liver
423,175,224,117.0,8.411301920630361,liver
260,283,298,143.0,7.088723439378913,liver
347,218,225,158.0,10.758717395675006,liver
279,190,234,6.0,36.62649314362488,background
284,351,233,-92.0,16.658331248957683,background
404,265,252,106.0,32.83291031876401,liver
401,144,249,94.0,23.979157616563597,liver
222,223,265,-62.0,36.190468358395144,background
297,122,250,-61.0,47.10360920354193,background
229,353,172,-107.0,20.74849392124643,background
323,230,249,115.0,49.64876634922564,liver
364,262,214,115.0,24.020824298928627,liver
347,136,264,88.0,20.80264406271472,liver
287,276,175,-81.0,24.994999499899976,background
345,178,265,100.0,20.89258241577618,liver
407,242,203,115.0,30.64718584144391,liver
238,225,224,-7.0,31.976553910638962,background
429,315,237,59.0,17.585505395068974,background
387,231,220,95.0,18.721645226849056,liver
277,225,287,93.0,27.518175811634027,liver
224,166,290,53.0,31.024184114977142,background
210,226,204,52.0,85.6314778571525,background
278,334,283,90.0,13.592277219068187,liver
321,155,264,104.0,21.691011963483863,liver
288,281,202,-36.0,85.83851117068609,background
397,190,272,97.0,23.65903632864196,liver
364,204,259,119.0,16.163229875244614,liver
319,289,196,-62.0,53.77964298877411,background
408,150,233,101.0,12.55985668708047,liver
414,268,263,87.0,17.96524422322168,liver
343,305,281,106.0,8.774964387392123,liver
359,359,255,125.0,9.874208829065749,liver
302,348,200,53.0,47.286361670147556,background
313,285,291,116.0,7.681145747868608,liver
213,329,234,15.0,15.165750888103101,background
412,336,300,73.0,15.132745950421556,background
291,181,173,67.0,6.224949798994366,background
432,259,275,157.0,9.433981132056603,liver
399,316,227,137.0,22.9128784747792,liver
349,201,266,105.0,18.01388353465182,liver
270,329,237,-18.0,25.485289874749316,background
215,268,295,70.0,14.983324063771697,liver
260,346,175,-86.0,22.321514285549714,background
370,242,282,93.0,13.219304066402286,liver
279,313,211,50.0,32.01952529317073,background
407,300,283,120.0,14.730919862656235,liver
397,251,234,126.0,15.92953232207399,liver
367,184,295,-817.0,13.133925536563698,background
323,274,289,101.0,29.740544715926102,liver
316,298,185,-36.0,59.648973168026956,background
374,232,267,110.0,26.115129714401192,liver
341,281,293,113.0,17.46424919657298,liver
396,204,230,90.0,11.346805717910216,liver
251,175,296,59.0,21.283796653792763,background
255,201,169,178.0,25.622255950637914,background
442,242,239,124.0,21.10094784600919,liver
422,200,192,123.0,5.454356057317857,liver
264,186,270,181.0,7.088723439378913,background
201,355,202,-41.0,42.080280417316615,background
430,276,195,152.0,2.179449471770337,liver
419,238,186,107.0,8.94427190999916,liver
382,338,244,130.0,17.09532099727876,liver
