x,y,z,value,magnitude,label
213,241,253,-875.0,18.894443627691185,background
393,241,238,102.0,20.062402647738878,liver
382,169,262,-854.0,7.280109889280518,background
215,381,259,81.0,57.50217387195027,liver
321,166,205,22.0,36.52738698565776,background
201,185,214,-12.0,40.11234224026316,background
340,243,236,165.0,42.53527947480773,liver
378,222,175,208.0,17.89553016817328,background
309,272,240,109.0,9.810708435174291,liver
243,224,237,24.0,50.4132918980699,background
394,406,230,83.0,15.132745950421556,liver
361,390,238,112.0,24.093567606313517,liver
292,199,227,16.0,47.34712240464039,background
300,367,244,87.0,16.680827317612277,liver
358,274,212,141.0,15.700318468107582,liver
405,286,224,130.0,24.834451876375287,liver
266,174,234,-3.0,4.387482193696061,background
244,348,202,1.0,29.478805945967352,background
204,341,254,106.0,5.408326913195984,liver
382,247,187,-82.0,18.39157415774952,background
235,363,207,-72.0,30.331501776206203,background
263,231,237,-62.0,38.128073646592746,background
386,231,229,88.0,14.798648586948742,liver
426,292,239,167.0,17.44276354251241,liver
345,187,250,-850.0,27.636027210870957,background
319,304,199,-3.0,15.157506391224118,background
344,257,210,96.0,15.636495771111889,liver
180,379,214,-53.0,148.25990692024598,background
386,184,217,147.0,25.154522456210533,liver
361,345,264,98.0,21.383404780343096,liver
379,269,232,100.0,24.41823089414956,liver
395,300,243,120.0,3.8078865529319543,liver
281,217,252,-846.0,12.767145334803704,background
359,289,208,120.0,17.916472867168917,liver
278,326,266,54.0,62.918598204346544,liver
256,317,174,-60.0,34.83891502328969,background
388,358,220,103.0,10.344080432788601,liver
260,318,230,128.0,19.1049731745428,liver
224,326,257,110.0,10.897247358851684,liver
392,325,209,120.0,13.865424623862047,liver
380,246,208,130.0,13.74772708486752,liver
212,409,263,-2.0,77.13462257637617,background
204,401,179,-90.0,15.652475842498529,background
399,388,241,102.0,15.953056133543816,liver
229,246,186,-20.0,40.37945021913993,background
428,308,212,129.0,11.335784048754634,liver
295,312,257,97.0,15.182226450688976,liver
344,394,172,-66.0,43.877670858877636,background
376,238,235,123.0,11.629703349613008,liver
316,333,211,37.0,13.729530217745982,background
360,393,229,76.0,59.283218536108514,background
237,350,260,135.0,20.91650066335189,liver
217,409,220,50.0,8.972179222463181,background
409,224,214,134.0,18.721645226849056,liver
422,171,258,-328.0,593.0233975148029,background
195,168,268,-657.0,143.79760081447813,background
303,372,232,114.0,16.522711641858304,liver
297,325,198,70.0,47.586762865317915,background
261,334,257,117.0,15.976545308670458,liver
250,334,192,-66.0,24.879710609249457,background
323,210,239,136.0,25.89884167293974,liver
403,232,241,165.0,17.284386017443605,liver
273,347,236,116.0,15.56438241627338,liver
371,406,250,118.0,17.797471730557685,liver
393,326,192,-32.0,40.2119385257662,background
270,388,260,131.0,15.182226450688976,liver
372,283,207,123.0,8.760707733967616,liver
391,226,212,117.0,24.119494190384675,liver
317,230,251,-20.0,313.00359422856474,background
444,238,227,117.0,21.283796653792763,liver
369,243,212,132.0,11.379806676741042,liver
383,392,232,107.0,33.46640106136302,liver
332,251,232,125.0,19.60867155112758,liver
315,240,246,121.0,20.93442141545832,liver
395,170,218,128.0,17.066048165876012,liver
332,209,230,141.0,19.880895352071043,liver
246,368,244,97.0,10.63014581273465,liver
